Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
1,qua,2024-02-21,20:00,Inter Miami,1.4,2–0,0.8,RSL,21.137,Chase Stadium,,Relatório da Partida,,/pt/partidas/6b8eefb5/Inter-Miami-Real-Salt-Lake-2024Fevereiro21-Major-League-Soccer
1,sáb,2024-02-24,13:45,LAFC,1.5,2–1,1.8,Seattle,22.214,BMO Stadium,,Relatório da Partida,,/pt/partidas/2d02571f/Los-Angeles-FC-Seattle-Sounders-FC-2024Fevereiro24-Major-League-Soccer
1,sáb,2024-02-24,14:00,Crew,1.8,1–0,0.5,Atlanta Utd,20.406,Lower.com Field,,Relatório da Partida,,/pt/partidas/50d19f80/Columbus-Crew-Atlanta-United-2024Fevereiro24-Major-League-Soccer
1,dom,2024-02-25,14:30,FC Cincinnati,0.9,0–0,0.5,Toronto FC,25.513,TQL Stadium,,Relatório da Partida,,/pt/partidas/7add352c/FC-Cincinnati-Toronto-FC-2024Fevereiro25-Major-League-Soccer
1,dom,2024-02-25,16:00,Nashville,0.1,0–0,1.4,NY Red Bulls,30.109,Geodis Park,,Relatório da Partida,,/pt/partidas/58d9874f/Nashville-SC-New-York-Red-Bulls-2024Fevereiro25-Major-League-Soccer
1,sáb,2024-02-24,19:30,Portland Timbers,0.5,4–1,1.2,Rapids,21.411,Providence Park,,Relatório da Partida,,/pt/partidas/24530d12/Portland-Timbers-Colorado-Rapids-2024Fevereiro24-Major-League-Soccer
1,sáb,2024-02-24,19:30,Philadelphia,2.1,2–2,1.6,Fire,18.734,Subaru Park,,Relatório da Partida,,/pt/partidas/25e841a5/Philadelphia-Union-Chicago-Fire-2024Fevereiro24-Major-League-Soccer
1,sáb,2024-02-24,19:30,D.C. United,4.5,3–1,0.8,NE Revolution,19.215,Audi Field,,Relatório da Partida,,/pt/partidas/4a63fe1b/DC-United-New-England-Revolution-2024Fevereiro24-Major-League-Soccer
1,sáb,2024-02-24,19:30,St. Louis,0.7,1–1,1.7,RSL,22.423,Citypark,,Relatório da Partida,,/pt/partidas/4ca51dbf/St-Louis-City-Real-Salt-Lake-2024Fevereiro24-Major-League-Soccer
1,sáb,2024-02-24,19:30,Austin,1.1,1–2,3.0,Minnesota Utd,20.738,Q2 Stadium,,Relatório da Partida,,/pt/partidas/82e1e5b8/Austin-FC-Minnesota-United-2024Fevereiro24-Major-League-Soccer
